rank,ItemCode,profit,profit_pos,weight,cum_profit_pct
1,SKU-00003,16700681088.0,16700681088.0,0.09698584398058543,0.09698584398058543
2,SKU-00002,8012686409.0,8012686409.0,0.04653206356278584,0.14351790754337126
3,SKU-09458,2641120895.49,2641120895.49,0.015337778007623327,0.15885568555099458
4,SKU-00005,2243340437.0,2243340437.0,0.013027748058404237,0.17188343360939884
5,SKU-08589,1285705360.51,1285705360.51,0.0074664751001695924,0.1793499087095684
6,SKU-12534,1215803793.0,1215803793.0,0.007060535816328379,0.18641044452589678
7,SKU-09760,1195313057.0,1195313057.0,0.006941539991291559,0.19335198451718835
8,SKU-12537,1106799793.0,1106799793.0,0.00642751702616323,0.1997795015433516
9,SKU-00324,978374716.17,978374716.17,0.0056817142412948505,0.20546121578464643
10,SKU-14323,937104039.81,937104039.81,0.005442043095110265,0.2109032588797567
11,SKU-14320,887401195.74,887401195.74,0.005153403832138645,0.21605666271189533
12,SKU-00004,835996756.0,835996756.0,0.004854882894803024,0.22091154560669835
13,SKU-06780,746488213.72,746488213.72,0.004335080051388731,0.2252466256580871
14,SKU-04268,738050665.0,738050665.0,0.004286080685469187,0.22953270634355627
15,SKU-06877,726791705.51,726791705.51,0.004220696544383739,0.23375340288794003
16,SKU-12176,707699350.88,707699350.88,0.004109821537693282,0.2378632244256333
17,SKU-08863,639872250.96,639872250.96,0.0037159293068414873,0.24157915373247477
18,SKU-14806,587093255.0,587093255.0,0.003409425910922709,0.24498857964339749
19,SKU-10120,554482216.0,554482216.0,0.003220043865733464,0.24820862350913095
20,SKU-10116,536791563.0,536791563.0,0.0031173089591310325,0.25132593246826196
21,SKU-03143,513679143.07,513679143.07,0.002983088232351488,0.25430902070061345
22,SKU-10532,506110690.0,506110690.0,0.002939135964491656,0.25724815666510514
23,SKU-09762,491045923.0,491045923.0,0.002851650362307701,0.2600998070274128
24,SKU-15599,477040403.0,477040403.0,0.002770316123875774,0.2628701231512886
25,SKU-06696,470316485.0,470316485.0,0.0027312683234507465,0.2656013914747393
26,SKU-04882,465862490.42,465862490.42,0.002705402646407393,0.2683067941211467
27,SKU-05035,464656583.47,464656583.47,0.0026983995845147953,0.2710051937056615
28,SKU-09694,458790176.0,458790176.0,0.0026643316038968802,0.2736695253095584
29,SKU-04262,451980131.1,451980131.1,0.0026247836388353383,0.27629430894839374
30,SKU-14730,450703678.91,450703678.91,0.002617370899660469,0.2789116798480542
31,SKU-06691,444294863.25,444294863.25,0.00258015299265261,0.28149183284070683
32,SKU-04434,443808787.02,443808787.02,0.002577330202782122,0.28406916304348895
33,SKU-10121,421848483.0,421848483.0,0.002449800157257194,0.28651896320074616
34,SKU-04252,409024535.0,409024535.0,0.002375327660393769,0.2888942908611399
35,SKU-09765,403650951.0,403650951.0,0.0023441216528845878,0.2912384125140245
36,SKU-03349,387166908.0,387166908.0,0.0022483938909961224,0.2934868064050206
37,SKU-00335,386645895.36,386645895.36,0.002245368214956403,0.29573217461997703
38,SKU-09698,384363300.88,384363300.88,0.002232112506944154,0.29796428712692113
39,SKU-09647,376822848.0,376822848.0,0.0021883228445519947,0.30015260997147314
40,SKU-14303,373240214.3,373240214.3,0.0021675174204356423,0.30232012739190883
41,SKU-06903,370829227.48,370829227.48,0.0021535160997510753,0.3044736434916599
42,SKU-03772,351779150.01,351779150.01,0.0020428866091579618,0.30651653010081786
43,SKU-11131,350736183.0,350736183.0,0.0020368297881710956,0.30855335988898897
44,SKU-04187,350020773.0,350020773.0,0.0020326751885906026,0.3105860350775796
45,SKU-00375,349329761.2,349329761.2,0.0020286622766458495,0.3126146973542254
46,SKU-14644,344887190.12,344887190.12,0.0020028629392794756,0.3146175602935049
47,SKU-00318,342747932.27,342747932.27,0.0019904396298957984,0.31660799992340066
48,SKU-09622,339043354.09,339043354.09,0.0019689260377562827,0.31857692596115694
49,SKU-14741,336353291.31,336353291.31,0.0019533040396051697,0.3205302300007621
50,SKU-15284,334282380.16,334282380.16,0.0019412776399252269,0.3224715076406873
51,SKU-14647,330080444.35,330080444.35,0.0019168757434553927,0.3243883833841427
52,SKU-12177,325464255.0,325464255.0,0.0018900681529310976,0.3262784515370738
53,SKU-06827,324118884.8,324118884.8,0.0018822551862846604,0.3281607067233585
54,SKU-11138,319195941.0,319195941.0,0.0018536661810341466,0.33001437290439267
55,SKU-14465,318279943.66,318279943.66,0.0018483467108499213,0.3318627196152426
56,SKU-14888,312198194.0,312198194.0,0.0018130281738066888,0.3336757477890493
57,SKU-09510,310421547.0,310421547.0,0.0018027106539497061,0.335478458442999
58,SKU-08191,302286759.0,302286759.0,0.0017554695099732467,0.33723392795297225
59,SKU-06678,301273898.19,301273898.19,0.0017495875246832401,0.3389835154776555
60,SKU-14872,293644648.82,293644648.82,0.0017052821945479641,0.34068879767220345
61,SKU-07573,289696881.24,289696881.24,0.0016823563289160167,0.34237115400111945
62,SKU-04176,289696837.0,289696837.0,0.001682356072001121,0.34405351007312057
63,SKU-00044,288984327.56,288984327.56,0.0016782183168390166,0.3457317283899596
64,SKU-03573,288526625.48,288526625.48,0.0016755603041336328,0.3474072886940932
65,SKU-14798,279930111.0,279930111.0,0.0016256377765588026,0.34903292647065204
66,SKU-07016,278257158.0,278257158.0,0.001615922438735758,0.3506488489093878
67,SKU-15145,275884160.7,275884160.7,0.0016021417345422314,0.35225099064393
68,SKU-06830,274872352.59,274872352.59,0.0015962658625955919,0.3538472565065256
69,SKU-15000,272895595.0,272895595.0,0.0015847862407645439,0.3554320427472901
70,SKU-02819,271018753.63,271018753.63,0.0015738868622704582,0.35700592960956057
71,SKU-11069,267829405.0,267829405.0,0.0015553653620394808,0.35856129497160005
72,SKU-00998,267461246.39,267461246.39,0.001553227355013215,0.36011452232661323
73,SKU-14763,264709123.0,264709123.0,0.0015372449523608075,0.3616517672789741
74,SKU-14597,263178266.55,263178266.55,0.0015283548116513336,0.3631801220906254
75,SKU-14641,256688849.43,256688849.43,0.001490668827887624,0.36467079091851307
76,SKU-06686,255557152.19,255557152.19,0.0014840967239492543,0.3661548876424623
77,SKU-15169,252945850.07,252945850.07,0.0014689321124785,0.3676238197549408
78,SKU-14468,252090300.54,252090300.54,0.0014639636807841864,0.369087783435725
79,SKU-09521,249741942.31,249741942.31,0.0014503260630304438,0.37053810949875543
80,SKU-14882,248956831.13,248956831.13,0.0014457666878762408,0.37198387618663165
81,SKU-03351,247451337.4,247451337.4,0.0014370238360582727,0.37342090002268996
82,SKU-02937,245885052.0,245885052.0,0.0014279279488526532,0.37484882797154256
83,SKU-15974,243248157.09,243248157.09,0.0014126147124051758,0.37626144268394773
84,SKU-12275,235594573.0,235594573.0,0.0013681680632814828,0.3776296107472292
85,SKU-01648,235267889.55,235267889.55,0.0013662709148989833,0.3789958816621282
86,SKU-07770,230559927.0,230559927.0,0.0013389303699873852,0.3803348120321156
87,SKU-15172,230097465.0,230097465.0,0.0013362447150046565,0.38167105674712026
88,SKU-00440,228475217.59,228475217.59,0.001326823839689744,0.38299788058681
89,SKU-11637,226021670.55,226021670.55,0.0013125753590938567,0.38431045594590385
90,SKU-07004,223311373.0,223311373.0,0.0012968358515887326,0.3856072917974926
91,SKU-14747,222883246.65,222883246.65,0.0012943495939824537,0.38690164139147504
92,SKU-03119,221385278.75,221385278.75,0.001285650446907445,0.3881872918383825
93,SKU-00353,220498971.0,220498971.0,0.0012805033930413576,0.3894677952314239
94,SKU-09771,218902428.0,218902428.0,0.0012712317909138518,0.3907390270223377
95,SKU-05952,216151604.46,216151604.46,0.0012552569368786918,0.3919942839592164
96,SKU-14213,215078758.85,215078758.85,0.0012490266019361557,0.3932433105611525
